Country,Life_expectancy_at_birth_2022_(years),Expected_years_of_schooling_2022_(years),Mean_years_of_schooling_2022_(years),Gross_national_income_(GNI)_per_capita_(2017_PPP_$),Class
Paraguay,70.475,13.91056957,8.861840248,13161.07522,3
Fiji,68.312,13.84869,10.37096977,11233.65882,3
Egypt,70.159,12.91180992,9.84810224,12360.8163,3
Uzbekistan,71.674,11.99291039,11.91114998,8055.910265,3
Viet_Nam,74.58,13.05294705,8.455348794,10813.98273,3
Saint_Lucia,71.294,12.71032047,8.576973425,14778.3463,3
Lebanon,74.416,12.05109224,8.602969077,12313.42257,3
South_Africa,61.48,14.26364994,11.60696983,13185.56419,3
Palestine_State_of,73.444,13.15474033,9.938480377,6936.258684,3
Indonesia,68.25,13.97573724,8.556509972,12045.56544,3
Philippines,72.187,12.78335953,8.971409559,9058.840558,3
Botswana,65.913,11.42568016,10.42,14841.57836,3
Jamaica,70.629,12.45977059,9.248188719,9694.522766,3
Samoa,72.598,12.4364,11.36735585,4970.232074,3
Kyrgyzstan,70.484,12.99493027,11.96131992,4781.692046,3
Belize,70.962,12.42656994,8.847599983,9242.082259,3
Venezuela_Bolivarian_Republic_of,71.105,13.50206427,9.628154421,6184.136,2
Bolivia_Plurinational_State_of,64.928,15.02243817,9.827750206,7987.842247,2
Morocco,74.973,14.59442043,6.05,7954.522461,2
Nauru,64.014,12.56089218,9.247975,14938.55659,2
Gabon,65.694,12.43426472,9.55,11194.21884,2
Suriname,70.289,10.95909977,8.388631804,12309.99659,2
Bhutan,72.229,13.06449041,5.835794662,10624.87388,2
Tajikistan,71.288,10.86102637,11.28955089,4807.213923,2
El_Salvador,71.475,11.9099355,7.150929928,8886.173528,2
Iraq,71.336,12.22275571,6.811878947,9091.865377,2
Bangladesh,73.698,11.94633007,7.379059792,6511.122178,2
Nicaragua,74.615,12.58347787,7.26,5426.50618,2
Cabo_Verde,74.722,11.53066323,6.09003905,7601.085433,2
Tuvalu,64.854,12.10158014,10.64458626,4754.453732,2
